Course Code,Name,Description,Prerequisites,Corequisites,Exclusions,Recommended_prep,Distribution,Hours,Delivery Mode
FRE325H5,Talking like a child: language acquisition of French,"We might not remember how we learned our first language(s) but we know it/them so well… Or do we? We take the child’s perspective in language learning, focusing on the following topics: the acquisition of grammar, the development of communicative skills, the development of a language in a multilingual environment (as a majority language versus a heritage language), the differences and similarities between simultaneous and successive language acquisition.",(FRE272H5orFRE272Y5) and [FRE280Y5or (FRE282H5andFRE283H5) or (a minimum grade of 77% inFSL406H5)],,,,Humanities,24L/12T,In Class
FRE342H5,History of Quebec and French Canada,"This course examines the history of French Canada, focusing in particular on the period from the 1830s to the present. It explores questions of culture, political community, language, and geography, looking to these aspects of historical experience to situate Quebec and French Canada with respect to North America's English-speaking majority as well as to the French-speaking nations of Europe, Africa, and elsewhere in the Americas. The course is taught in English but students will work with French-language material and will be required to write all tests and assignments in French. This course is taught in conjunction withHIS342H5.",FRE240H5and [FRE280Y5or (FRE282H5andFRE283H5) or (a min. grade of 77% inFSL406H5)],,HIS342H5,,Humanities,24L,In Class
FRE352H5,Teaching French Grammar,"This course examines practical and theoretical issues surrounding grammar in the language curriculum such as various approaches to the implementation of grammar in language curricula, such as in grammar-translation or task-based learning; the role and limitations of descriptive grammar, including pedagogical grammar; form focus versus meaning focus; interference and error analysis; feedback on errors. Students will be asked to critique and create teaching materials.",(FRE227H5and (FRE272H5orFRE272Y5) and [FRE280Y or (FRE282H5andFRE283H5)]) or a minimum grade of 77% inFSL406H5,,,,Humanities,24L/12T,In Class
FRE354H5,Teaching French in a Plurilingual Context,"This course allows students to explore innovative pedagogical approaches such as the Action Oriented and Plurilingual & Pluricultural Approaches, building on knowledge and skills acquired inFRE227H5Teaching and Learning a Second/Foreign Language. This is accomplished through the examination of the linguistic and cultural diversity observed in French Language classes today, and the discovery of innovative and current teaching approaches followed by the creation of pedagogical materials. Particular emphasis is placed on students’ abilities to transfer knowledge into practice.",FRE227H5orFRE272Y5,,,,Humanities,24L/12T,In Class
FRE355H5,Psycholinguistics: multilingual learners in action,"This course provides an introduction to real-time language interaction in multilingual comprehension and production. A primary focus will be on language development, spoken and written language processing, the organization of multilingual memory, and the main experimental methods in psycholinguistics.",(FRE272H5orFRE272Y5) and [FRE280Y5or (FRE282H5andFRE283H5) or (a minimum grade of 77% inFSL406H5)],,,,Humanities,24L/12T,In Class
FRE363H5,Love and Pain in French Literature,"This course explores the tension between love and pain in a range of French literary works from 1800 to the contemporary era.Students will apply their previous knowledge in literature, and oral and written competences in French, to the study of multiple autobiographical and literary genres. Particular emphasis will be placed on extending attentive reading skills as ways of reflecting on first- and third-person writing and its relationship to love, social context and expectations, and gender.",FRE240H5and [FRE280Y5or (FRE282H5andFRE283H5) or (a min. grade of 77% inFSL406H5)],,,,Humanities,24L/12T,In Class
FRE364H5,Society through the French Novel,"This course explores the representation of social issues in French literature, from the 19thcentury to the contemporary era. Students will apply previous knowledge in literature, and their oral and written competences in French to the study ofsocial exclusion and marginality, class consciousness, and social identities as literary themes. Particular emphasis will be on extending attentive reading skills as ways of thinking about storytelling and its relationship to character, the interplay between documentary and fictional genres, and commitment through authorship.",FRE240H5and [FRE280Y5or (FRE282H5andFRE283H5) or (a min. grade of 77% inFSL406H5)],,FRE364Y5,,Humanities,24L/12T,In Class
FRE367H5,French Fiction of the 20th Century,"This course allows students to exploreFrench fiction of the 20thCentury. Students apply previous knowledge in literature and cultural studies, andtheiroral and written competences in French to the study of works.Particular emphasiswill beplacedon extending attentive reading skills as ways ofreflecting onmemory and the telling of war experiences,the lives of women, andcrime and guilt in the French context.",FRE240H5and [FRE280Y5or (FRE282H5andFRE283H5) or (a min. grade of 77% inFSL406H5)],,FRE467H5,,Humanities,24L/12T,In Class
FRE370H5,Voices from No-Man's Land: Diaspora Writings in the 21st Century Francophone Literature,"Contemporary literature written in the French language offers a rich and fertile ground for writers of various origins, cultures and languages who are united by several common factors: exile, immigration, transculturation, identity and alterity, and relationship with French, among others. This course explores these topics while relating them to literary and cultural contexts as well as students' real life through extensive reading and analysis of ultra contemporary novels and short stories by authors such as Dany Laferrière, Ying Chen, Aki Shimazaki, Kim Thúy, Marco Micone, Abla Farhoud, Sergio Kokis, Agota Kristof, Dai Sijie, or Nancy Huston.",FRE240H5and [FRE280Y5or (FRE282H5andFRE283H5) or (a min. grade of 77% inFSL406H5)],,,,Humanities,24L/12T,In Class
FRE376H5,French Phonology and Phonetics,A study of the phonological system of modern French based on actual samples of speech taken from different regional varieties and socio-economic groups.,(FRE272H5orFRE272Y5) and [FRE280Y5or (FRE282H5andFRE283H5) or (a minimum grade of 77% inFSL406H5)],,FRE376H1,,Humanities,24L/12T,In Class
FRE378H5,French Syntax and the Multilingual Speaker,"This course explores the sentential structure of French through the lens of language learners. The focus is first and foremost on the learning of French grammar including relative clauses, negation, pronominals and the agreement system.",(FRE272H5orFRE272Y5) and [FRE280Y5or (FRE282H5andFRE283H5) or (a minimum grade of 77% inFSL406H5)],,FRE378H1,,Humanities,24L/12T,In Class
FRE382H5,Advanced Language Practice: Written French,"This course develops writing skills at an advanced level in the areas of vocabulary, grammar and style. Emphasis will be put on practice and error correction.All students are REQUIRED to complete the French Placement Test (https://frenchpt.utm.utoronto.ca/) before enrolling in ANY FSL or FRE language course for the FIRST time.",FRE282H5or a minimum grade of 77% inFSL406H5or the equivalent as determined by the department's French Language Placement Test (https://frenchpt.utm.utoronto.ca/).,,FSL420H1orFSL422H1. Not normally open to francophones and/or holders of the French baccalaureat but contingent on the results of the French Language Placement Test (https://frenchpt.utm.utoronto.ca/).,,Humanities,12L/24P,In Class
FRE383H5,Advanced Language Practice: Spoken French,"This course provides students with intensive practice in listening and spoken French at the advanced level. Students will acquire competences and vocabulary necessary for authentic academic and professional settings. Formal and informal interactions, projects and tasks are designed to enhance various types of oral communication skills.All students are REQUIRED to complete the French Placement Test (https://frenchpt.utm.utoronto.ca/) before enrolling in ANY FSL or FRE language course for the FIRST time.",FRE283H5orFSL406H5,,FSL420H1orFSL422H1. Not open to native speakers of French and holders of the French baccalaureat.,,Humanities,24L/12P,In Class
FRE385H5,Decoding French Language Games,"This course explores the phonological properties of French language games such as Verlan and Loucherbem. Adopting a comparative approach with standard French, particular emphasis will be placed on students' ability to identify and model phonological patterns of segmental and syllable structure modification using both descriptive and theoretical phonological tools.",(FRE272H5orFRE272Y5) and [FRE280Y5or (FRE282H5andFRE283H5) or a minimum grade of 77% inFSL406H5],,,,Humanities,24L/12T,In Class
FRE386H5,French Semantics,Various approaches to the notion of meaning; its functioning at all levels of representation.,[(FRE272H5orFRE272Y5) and (FRE282H5andFRE283H5)] or a minimum grade of 77% inFSL406H5or equivalent.,,FRE386H1,,Humanities,24L/12T,In Class
FRE387H5,French Morphology,"A study of the morphological system of modern French, its relationship to syntax and phonology; theoretical notions derived from the analysis of specific data. Special attention will be given to the methods of analysis and classification, as well as selected morphological categories (verbs, nouns, etc.).",(FRE272H5orFRE272Y5) and [FRE280Y5or (FRE282H5andFRE283H5) or (a minimum grade of 77% inFSL406H5)],,FRE387H1,,Humanities,24L/12T,In Class
FRE391H5,Women and LGBTQ+ Writers and Filmmakers of the Francophone World,"This courseinvitesstudents to explore women and LGBTQ+ writers and filmmakers from France and the Francophone world. Studentswillapplytheirprevious knowledge in literature and cultural studies, andtheiroral and written competences in French to the study of works by French, Quebecois, Caribbean and African authors and directors.Particular emphasiswill beplacedon extending attentive reading skills as ways of thinking about gender representation, feminism,and identity in fiction, non-fiction,and films.",FRE240H5and [FRE280Y5or (FRE282H5andFRE283H5) or (a min. grade of 77% inFSL406H5)],,,,Humanities,24L/12T,In Class
FRE393H5,French Society through Film,"This course explores the representation of social issues in French cinema, from the Sixties to the contemporary era. Students will develop knowledge in cultural studies, and their oral and written competences in French, through the study ofsocial exclusion and marginality, class conflict, and social identities as cinematographic themes. Particular emphasis will be placed on extending attentive interpretive skills as ways of reflecting on storytelling and its relationship to the cinematic medium, the interplay between documentary and fictional genres, and authorship.",FRE240H5and [FRE280Y5or (FRE282H5andFRE283H5) or (a min. grade of 77% inFSL406H5)],,,,Humanities,24L/24T,In Class
FRE395H5,Francophone Media and Global Culture,"This course explores media and culture in the Francophone world through textual, graphic, musical and cinematographic content. Students will apply previously acquired knowledge in cultural studies, and their oral and written competences in French to the study of multiple cultural and mediatic forms including movies, graphic novels and songs. Particular emphasis will be placed on extending attentive reading skills as ways of thinking about texts, images and music, and on deploying these skills to better understand the relationship between different Francophone cultures within our contemporary world.",FRE240H5and [FRE280Y5or (FRE282H5andFRE283H5) or (a min. grade of 77% inFSL406H5)],,,,Humanities,24L/12T,In Class
FRE397H5,Francophone African and Caribbean Cinema,"This courseprovidesan introduction toFrancophone African and Caribbean cinema studies, tracing its origins and emergence to the present day. Studentswillapply previous knowledge in cultural studies, andtheiroral and written competences in French to the study of works by North-African, Sub-Saharan African, and Caribbean male and female directors.Particular emphasiswill beplacedon extending attentive reading skills as ways of thinking about colonialism, gender, space,and identity in narrative movies and documentaries.",FRE240H5and [FRE280Y5or (FRE282H5andFRE283H5) or (a min. grade of 77% inFSL406H5)],,,,Humanities,24L/12T,In Class
FRE398H5,The Culture of Paris,"This course explores the city of Paris as it developed into a cultural beacon of excellence in French culture throughout the 19th and 20th centuries. Students will expand and apply previous knowledge in cultural studies, and their oral and written competences in French, to the study of the events that have shaped the Paris of today. Particular emphasis will be placed on extending attentive interpretive skills to the impact of historical events, city planning and promotion, and artistic celebration, and on deploying these skills to think critically about heritage in the French context.As part of this course, students have the option of participating in an international learning experience that will have an additional cost and application process.",FRE240H5and [FRE280Y5or (FRE282H5andFRE283H5) or (a min. grade of 77% inFSL406H5)],,,,Humanities,24L/12T,In Class
FRE399Y5,Research Opportunity Program,"This course provides senior undergraduate students who have developed some knowledge of research methods used in the discipline of French studies to work in the research project of a U of T Mississauga professor for course credit. Enrolled students have the opportunity to become involved in original research, develop their research skills, and share in the excitement and discovery of acquiring new knowledge. Project descriptions for participating faculty members for the following summer and fall/winter sessions are posted on the ROP website in mid-February and students are invited to apply at that time. See Experiential and International Opportunities for more details.",FRE227H5and (FRE240H5orFRE272H5),,,,Humanities,,In Class
FRE400H5,French Studies Internship,"Students enrolled in a French Studies program of study will have the opportunity, through work placement, to apply the knowledge and expertise gained throughout their studies in French. The work placement will take place in corporations, local media or community organizations. Application deadline is February 28th. Students will be required to include a letter of interest highlighting their qualifications as suitable candidates for an internship opportunity. Applicants who meet minimum criteria (must be in 4th year of studies, number of courses completed in FRE and CGPA) will be selected for an interview. Final decisions will be based on a combination of academic qualifications, experience, and the interview.",FRE382H5andFRE383H5and an additional 1.0 credit at the 300 level in FRE,,,,Humanities,,In Class
FRE440H5,Francophone Periodical Studies,"This advanced research course provides students a theoretical and practical background in periodical studies, exploring the interaction of literature and journalism from the beginning of the 19thcentury to the present day in France and Quebec. Students work under the supervision of the instructor to prepare, collect, and analyze data from periodicals, newspapers and magazines, and to present findings in the form of a research report.",1.0 credit from among 300-level French and Francophone Literary & Cultural studies courses category.,,,,Humanities,24L/12T,In Class
FRE442H5,Advanced Language Practice IV: Written,"Consolidation of writing skills in the areas of vocabulary, grammar and style. This writing intensive course focuses on improving persuasiveness in writing, in part by reading and analyzing a variety of texts to learn to recognize strategies that work in written communications.All students are REQUIRED to complete the French Placement Test (https://frenchpt.utm.utoronto.ca/) before enrolling in ANY FSL or FRE language course for the FIRST time.",FRE382H5or permission of the instructor. Also open to francophones and/or holders of the French or international baccalauéat but contingent on the results of the Online French language placement test (https://frenchpt.utm.utoronto.ca/).,,FRE442H1,,Humanities,12L/24T,In Class
FRE446H5,Special Topics in French & Francophone Literary and Cultural Studies II,"A study of fiction, non-fiction or theoretical approaches in French & Francophone literature and culture.","(0.5 credit from the 300-level French and Francophone Literary & Cultural Studies category) and (0.5 credit of FRE at the 300-level, determined annually contingent on course content)",,,,Humanities,24L/12T,In Class
FRE453H5,Teaching French Culture,"This advanced research course deepens students’ theoretical and practical background in language pedagogy, exploring research questions related to issues surrounding the integration of culture in the language curriculum including the relationship between authentic language and culture, and the role of linguistic and cultural diversity in education. Students will learn to critique and create teaching materials and undertake an independent research project.",FRE354H5and 0.5 credit at the 300-level from among the FRE Language Teaching and Learning courses.,,FRE353H5,,Humanities,24L/12T,In Class
FRE482H5,Creative Writing,"This course allows students to develop their French writing skills with a variety of short imaginative and first-person genres. Students will extend their knowledge of language creativity and written competences in French to the production of a range of creative texts based on examples and using generative techniques. Particular emphasis will be placed on developing precision and a diversity of expressive skills, especially varied vocabulary and standard idiomatic turns.",FRE382H5,,FSL482H5,,Humanities,12L/12T,In Class
FRE488H5,Advanced Topics in Theoretical French Linguistics,An advanced study (or in-depth examination) of a specific topic in theoretical French linguistics. Content in any given year depends on the instructor. Contact the department for details.,0.5 credit from the French Linguistics category plus 0.5 FRE 300-level credit determined annually contingent on course content.,,,,Humanities,12T/24S,In Class
FRE489H5,The Structure of the Syllable in Romance Languages,"A comparative approach to the study of various phonological processes of contemporary Romance languages. Current issues on the representation of syllable structure and problems of syllabification in reference to phenomena such as liaison, elision, definite and indefinite article selection et cetera.",FRE376H5andFRE377H5and (FRE385H5orLIN229H5) and any 0.5 credit of FRE Linguistics or LIN at the 300-level,,,,Humanities,24L/12T,In Class
FRE491H5,Independent Study,"A scholarly project supervised by a Faculty member on a literary or linguistic topic of common interest, including readings, discussions and papers.",1.0 credit of FRE at the 300-level relevant to the topic of study,,,,Humanities,,In Class
FRE492H5,Independent Study,"A scholarly project supervised by a Faculty member on a literary or linguistic topic of common interest, including readings, discussions and papers.",1.0 credit of FRE at the 300-level relevant to the topic of study,,,,Humanities,,In Class
FSC210H5,Physical Evidence and Microscopy,"Forensic Science examines physical evidence in relation to the law. There are a number of scientific techniques used to characterize physical evidence, but perhaps the most utilized technique is microscopy. In this course, students will practice how to process and characterize trace evidence using a number of different microscopy techniques, such as stereomicroscope, polarized light microscope (PLM), comparison microscope, scanning electron microscope (SEM), and confocal microscope. The theory and operation behind each microscopy technique will be discussed during lecture, while students will have the opportunity to operate the different microscopes during laboratory sessions.",FSC239Y5,,,,Science,24L/24P,In Class
FSC220H5,Introduction to Forensic Psychology,"This course provides an introductory overview of the many ways psychological research and theories (i.e. behavioural science) can deliver useful information in collecting and assessing evidence for criminal investigation, trial, and prevention. Topics may include: eyewitness testimony, deception, criminal profiling, false confession, mental illness, victim trauma, criminal responsibility, risk assessment, serial killing, hate crimes, sexual offending, prejudiced policing, and jury decision-making. The aim of this course is to give students general insight into the various applied specializations of forensic psychologists.",PSY100Y5,,,,Science,36L,In Class
FSC271H5,Ethics and Professionalism in Forensic Science,This course covers the importance of professionalism and ethical behaviour for Forensic Scientists. It looks at the role of the Forensic Scientist and the expert witness and the consequences when ethical guidelines are not followed.,FSC239Y5,,,,Science,24L/12S,In Class
FSC300H5,Forensic Identification,"Focusing on the scene of the crime and evidence found there, this course is an introduction to the field of forensic identification. Topics include: crime scene protocols, management and reconstruction; image collection, storage and enhancement; recognition collection; and chain of custody and preservation of evidence.",FSC239Y5andFSC271H5,,,,Science,24L/24P,In Class
FSC302H5,Advanced Forensic Identification,"Continuing fromFSC300H5, this course focuses on advanced crime scene examination and the use of evidence detection techniques. Topics include: advanced fingerprint development techniques, footwear collection and identification, analysis report writing, bloodstain pattern interpretation and crime scene plan drawing. Additional topics discuss biometrics, examiner bias, the expert witness, crime scene examination protocols and courtroom testimony.",FSC300H5,,,,Science,24L/24P,In Class
FSC303H5,Techniques of Crime Scene Investigation,"This course will provide students with an introduction to forensic photography, crime scene processing, and forensic identification. Topics include, but are not limited to: fingerprint identification, chance impression evidence, physical evidence, crime scene and victim photography, and proper documentation of a crime scene. Students will gain an understanding of the basic ""toolkit"" required for crime scene processing, and learn the fundamentals of proper collection and analysis of physical evidence.",FSC239Y5andFSC271H5,,FSC300H5orFSC302H5,,Science,12L/24P,In Class
FSC307H5,Missing Persons DVI and Unidentified Human Remains,"The goal of this course is to gain a basic understanding of the case management involved in missing persons, disaster victim identification, and unidentified human remains cases. Topics covered will include the interdisciplinary interactions between anthropology, odontology, fingerprinting and forensic genetics in the identification and databasing of both missing persons and recovered unidentified human remains.","ANT202H5or (BIO206H5,BIO207H5).",,,,Science,36L,In Class
FSC311H5,Forensic Chemistry,"This course focuses on the analysis of physical evidence based on the principles of analytical chemistry. Students will gain knowledge in the theory and operation of forensically relevant chemical and instrumental techniques used for the analysis of evidentiary items, including drug/alcohol analysis, gunshot residue, explosives, paint analysis, etc. Students will also develop skills relating to the interpretation, limitation, and implications of analytical results in a forensic context.  (Priority given first to Forensic Science Specialists and Majors; then Minors.)",CHM211H5and (CHM110H5andCHM120H5) orCHM140Y5,,,FSC239Y5andCHM311H5,Science,36L/36P,In Class
FSC314H5,Hot Topics in Forensic Science,"A lecture-based course examining contemporary topics in forensic science. The course will emphasize group discussion where students will examine, review, criticize, and present on current trends and fundamental topics within forensic science, which could include evidence screening, methodology, forensic technological developments/enhancements as well as current ethical and/or political changes in the field. The implications and applications of forensic science research advances will also be explored. The theme of the course is expected to be topical and current, and to vary from year to year to accommodate the interests of both the students enrolled in the course and the faculty member(s) teaching the course.",FSC239Y5andFSC271H5,,,,Science,36L,In Class
FSC315H5,Forensic Biology,"This course focuses on the analysis and interpretation of biological evidence in a forensic context. Students will gain knowledge in the theory and operation of forensically relevant biological and instrumental techniques used for the analysis of evidentiary items, including DNA, bodily fluids, hair, etc. Students will also develop skills relating to the interpretation, limitation, and implications of analytical results in a forensic context.  (Priority given first to Forensic Science Specialists and Majors; then Minors.)",BIO206H5andBIO207H5,,,,Science,36L/36P,In Class
FSC316H5,Forensic Anatomy,"This course examines the body as forensic evidence. Human gross anatomy and histology will be examined from the perspective of forensic pathology, students will learn about the role of the body in crime scene analysis, autopsy procedures such as fingerprinting and forensic imaging of the deceased, and address anatomical anomalies useful for forensic purposes such as identification. Other topics include bodily decomposition, disease, and injuries.",FSC239Y5andFSC271H5,,,,Science,12L/24P,In Class
FSC320H5,Forensic Psychopathology,"Pathology is the study of disease and psychopathology is the study of mental illness. In Forensic Psychopathology, then, we make inquiries about mental illness in the context of forensic practices. In this course, we will explore multiple topics in the field providing the student with a general insight into its history, scientific merits, and practical relevance. We will survey prevailing theories on mental health, illness, and treatment. Investigate psychiatric diagnoses such as (juvenile) Conduct Disorder, Antisocial Personality Disorder, and Psychopathy, hereunder their application and relevance in risk assessment, behavior prediction, and offender rehabilitation. We will also discuss methodological, ethical, and legal issues in the field, for example, the scientific validity of psychiatric diagnostics, the ethical implications of using psychiatric assessments in forensic institutions, and the legal responsibility of mentally ill offenders.",FSC220H5andFSC271H5,,,,Science,36L,In Class
FSC330H5,Best Practices in Forensic Science,"This course will guide students through the common fundamentals of quality assurance, health & safety, resiliency and post-traumatic stress disorder (PTSD) training and report writing in forensic science professions.",FSC271H5,,,,Science,24L/12S,In Class
FSC335H5,Forensic Epistemology: Scientific Knowledge and the Legal System,"Epistemologyis the study of the nature and limitations of human knowledge, exploring challenging questions such as: What makes some beliefs more justified than others? Why are we so compelled by the insights of modern science? Are there practical limitations to what we can know?",FSC239Y5andFSC271H5,,,,Science,36L,In Class
FSC340H5,Research Design,"This course introduces students to common methods of research design and the nature of data collection. Students will learn how to pose a meaningful research questions, to select appropriate data types, to define variables, examine bias, confounding factors, and select appropriate statistics that address their purpose.",FSC271H5,,,It ishighly recommendedthat students completeFSC341H5prior to enrolment in this course.,Science,12L/24P,In Class
FSC350H5,Special Topics in Forensic Science,"A survey of recent developments in theory and applications of forensic science with particular attention to case studies in a particular branch of forensic science. The contact hours for this course may vary in terms of contact type (L,S,T,P) from year to year, but will be between 24-36 contact hours in total. See the UTM Timetable.",FSC239Y5or permission of instructor,,,,Science,36L,In Class
FSC351H5,Advanced Topics in Forensic Science,"A survey of recent developments in theory and applications of forensic science with particular attention to case studies in a particular branch of forensic science. The contact hours for this course may vary in terms of contact type (L,S,T,P) from year to year, but will be between 24-36 contact hours in total. See the UTM Timetable.",FSC239Y5or permission of instructor,,,,Science,36L,In Class
FSC360H5,"Evidence, Law and Forensic Science in Canada","This course will explore the position of forensic science within the law in Canada. The focus will be on the evolution of the acceptance of forensic science in Canadian criminal law and its current position within the legal system. Topics include: Evidence law, expert evidence law, defining the expert, differing standards of legal acceptance for police sciences and others. Important historical documents and legal advancements will be surveyed.",FSC239Y5andFSC271H5,,,,Social Science,24L/12S,In Class
FSC361H5,Mental Illness and the Criminal Justice System,"This course will develop students’ knowledge of forensic mental health issues throughout the criminal justice system, including the nature and extent of mental illness in our society and the various legal, social and ethical issues that arise when a mentally disordered individual comes into contact with the criminal justice system. Topics to be explored include: the medical and legal definitions of mental disorder and their relationship to each other; the criteria for state-compelled treatment and how it impinges upon individual autonomy; the changing views of the justice system’s duty to accommodate victims and witnesses with mental health issues; fitness to stand trial and the defense of not criminally responsible; and the Review Board process.",FSC271H5,,,,Social Science,36L,In Class
FSC370H5,Forensic Psychopharmacology,"This course introduces students to the area of psychopharmacology (drug induced changes in mood, thinking and behaviour). The mechanisms of action of drugs in the nervous system and their effects on the brain and on behaviour will be explored and the significance of psychopharmacology in criminal investigations and trials will be discussed.",FSC239Y5andFSC271H5andBIO152H5,,,,Science,24L/12S,In Class
FSC399Y5,Research Opportunity Program,"This course provides senior undergraduate students who have developed some knowledge of a discipline and its research methods an opportunity to work in a research project. Students enrolled have an opportunity to become involved in original research, develop their research skills and share in the excitement and discovery of acquiring new knowledge. This course is aimed at facilitating International Research Opportunities offered at U of T's partner institutions and coordinated through the Centre for International Experience. SeeExperiential and International Opportunitiesfor more details.",,,,,Science,,In Class
FSC401H5,Forensic Pathology,"This is a general introduction of the scientific and medical basis of forensic pathology. The scientific aspects of death investigation will be emphasized including cause, manner, and time of death. Emphasis will be placed in developing skills to critically examine the published forensic scientific and medical literature. Also included are human rights death investigation, and custodial death.",FSC239Y5and (FSC316H5orBIO210Y5),,,FSC271H5,Science,36L,In Class
FSC402H5,Forensic Toxicology,"Forensic toxicology involves the study of the adverse effects of drugs, alcohol and poisons on biological systems in a medicolegal context. This course will include a review of pharmacokinetics, analytical techniques and quality assurance measures used in forensic toxicology, the effects of drugs on human performance and post-mortem toxicology of illicit drugs, pharmaceutical drugs and other poisons. The major focus of this course will be the role that a forensic toxicologist plays in criminal and death investigations.",FSC239Y5and [(CHM110H5andCHM120H5) orCHM140Y5],,,FSC271H5,Science,36L,In Class
FSC403H5,Forensic Analytical Toxicology,"Analytical toxicology is the isolation, detection, identification, and quantitation of foreign compounds (xenobiotics) in biological and other specimens. This course integrates theoretical and practical aspects of analytical chemistry with forensic toxicology. General aspects of method development, implementation, validation, and laboratory operation will be explored.",FSC239Y5andCHM211H5,,,CHM311H5andFSC402H5,Science,24L/15P,In Class
FSC406H5,Introduction To 3D Crime Scene Mapping And Reconstruction,"This course introduces students to both standard and innovative methods of documenting, mapping, analyzing, and visualizing/reconstructing a crime scene for investigative purposes, including: total stations; laser scanners; panoramic images; and photogrammetry. Course topics range from basic measurement theory and statistics, to legal considerations such as admissibility and preparing courtroom-ready visualizations. Students will learn to use forensic mapping software to create courtroom-ready graphics.",FSC300H5orFSC303H5,,,,Science,12L/24P,In Class
FSC407H5,Forensic Identification Field School,"A field course to complement the material covered in bothFSC300H5, Forensic Identification &FSC302H5, Advanced Forensic Identification. The field school will be held on the U of T Mississauga Campus over a 2-week period during the summer term and during weekly two hour labs in the fall term. In these classes, students will experience practical exposure to field and laboratory methods related to evidence recognition, collection and interpretation. Emphasis will be placed on the types of evidence collected, processed, and analyzed by forensic identification specialists. General evidence and small object photography techniques will be an important component of the course.",(FSC239Y5andFSC302H5) or Permission of Instructor. Students seeking to useFSC407H5as their capstone placement must have:Completion ofFSC302H5Completion of (ANT407H5orBIO259H5orFSC341H5orSTA215H5orSTA220H5orPSY201H5)Enrolment in a Forensic Science Specialist Program and Permission of Instructor.Course Application is required. See the Forensic Science Program website for details.,,,,Science,104P,In Class
FSC415H5,Advanced Methods in Forensic Biology,"This advanced course explores the methodologies and data interpretation of forensic DNA typing, and other forensic biology techniques. The course will cover the principles, protocols, and current practices in an effort to understand the “what”, “how” and “why” of DNA analysis in a forensic context. Students will also learn about new and future trends in the field of forensic DNA typing, where discussion and evaluation of the primary literature is a key component of this course. Practical sessions will focus on the advanced techniques discussed in lecture.",FSC315H5,,,,Science,36L/36P,In Class
FSC416H5,Population Genetics,"This course introduces students to the genetic variation between and within populations. The topics include evolutionary forces, quantitative genetics, and Baysian statistics as it applies to forensic biology.",(ANT202H5orBIO207H5) andBIO259H5andFSC315H5,,EEB459H1,,Science,24L/12S,In Class
FSC430H5,Seminar in Forensic Science,"As a capstone course,FSC430H5is intended to apply the unique interdisciplinary perspectives acquired by students enrolled in the Forensic Science Minor. This course will address key themes in forensics, and culminate in a collaborative course project, informed and shaped by these perspectives. Students can expect to work in partnerships, groups, or teams to investigate and discuss major issues, hot topics, historical events or growing bodies of knowledge that contribute to a broader understanding of forensic science and how it is relevant across many, if not all disciplines.",FSC360H5,,,,"Science, Social Science",36S,In Class
FSC439H5,Forensic Anthropology Case Analysis,"This course offers a case-based approach to forensic anthropology. Students will critically evaluate real forensic anthropological cases, in addition to completing their own mock cases - from the transfer of evidence to a mock trial.",ANT439H5,,,,Science,12L/36P,In Class
FSC481Y5,Internship in Forensic Science,"As the capstone experience for the Forensic Science Specialist Programs, this course provides students with professional practice and research experience. Students are required to attend classes that address proper research design and methodology, as well as issues of professional practice in the forensic sciences including: ethics; research protocols; written and verbal communication skills; professional communication (interviews, letters, emails, reports, presentations, and publications); and expert witness testimony. Students will also be placed with a participating forensic agency to conduct research and gain an understanding of the unit's daily operations. In addition to practice presentations, critiques, an ethics approval application, a 10-15 page research proposal, and a mock interview, students are required to formally present the results of their research at the annual Forensic Science Day symposium and submit a publication quality manuscript of their work.",Completion ofFSC340H5or (PSY201H5andPSY202H5)Completion of (ANT407H5orBIO259H5orFSC341H5orSTA215H5orSTA220H5orPSY201H5)Enrolment in a Forensic Science Specialist Program and Permission of Instructor.Students seeking an IDENT capstone placement must also have completedFSC302H5.Course application is required. See the Forensic Science Program website for details.,,FSC482H5orFSC483H5orFSC484H5orFSC485H5,,Science,,In Class
FSC482H5,Professional Practice in Forensic Science,"This course will address practical considerations of professional practice, including professional writing, ethics in research, interviews, mock trial, and journal publication. Students MUST apply for this course. Course Application & Procedures:https://www.utm.utoronto.ca/forensic/applications",Enrolment in a Forensic Science Specialist Program and completion of the forensic program statistics course(s) requirement and any third level IDENT course and permission of instructor.,FSC483H5orFSC485H5,FSC481Y5,,Science,24L,In Class
FSL105H5,Functional French-Novice,"The objective of this course, which serves as a starting point in our series of FSL courses, is to introduce students to the phonetic system of the French language, to teach basic vocabulary and to develop awareness of the functions of language in different situations and contexts. An awareness of various francophone cultures and communities will be developed.All students are REQUIRED to complete the French Placement Test (https://frenchpt.utm.utoronto.ca/) before enrolling in ANY FSL or FRE language course for the FIRST time.",All students are REQUIRED to complete the French Placement Test (https://frenchpt.utm.utoronto.ca/) before enrolling in ANY FSL or FRE language course for the FIRST time.,,FSL100H1. Not open to students who have previously studied French and not open to native speakers of French.,,Humanities,36L/12P,In Class
